"Plate","Ct","dilution","Adj_Vol","Sample"
8,35.0306663513184,10,2.02,"1021.1Prt.Up.2"
12,34.2574768066406,10,1.603333333,"0122.5Sqm.Up.1"
12,35.6195526123047,10,1.603333333,"0122.5Sqm.Up.1"
12,34.8130340576172,10,1.603333333,"0122.5Sqm.Up.1"
12,35.9334487915039,10,1.603333333,"0122.5Sqm.Up.2"
12,NA,10,1.603333333,"0122.5Sqm.Up.2"
12,34.1429748535156,10,1.603333333,"0122.5Sqm.Up.2"
12,34.7704277038574,10,1.603333333,"0122.5Sqm.Up.3"
12,34.5879745483398,10,1.603333333,"0122.5Sqm.Up.3"
12,NA,10,1.603333333,"0122.5Sqm.Up.3"
12,34.6728782653809,10,2.023333333,"0122.2Brn.Dn.3"
12,35.1120185852051,10,2.023333333,"0122.2Brn.Dn.3"
12,33.4331130981445,10,2.023333333,"0122.2Brn.Dn.3"
12,34.3169097900391,10,1.923333333,"0222.1Prt.Dn.1"
12,33.6635398864746,10,1.923333333,"0222.1Prt.Dn.1"
12,32.2830581665039,10,1.923333333,"0222.1Prt.Dn.1"
12,33.4915504455566,10,1.923333333,"0222.1Prt.Dn.2"
12,35.375,10,1.923333333,"0222.1Prt.Dn.2"
12,34.2854423522949,10,1.923333333,"0222.1Prt.Dn.2"
12,34.5033493041992,10,1.923333333,"0222.1Prt.Dn.3"
12,33.4917678833008,10,1.923333333,"0222.1Prt.Dn.3"
12,33.6583557128906,10,1.923333333,"0222.1Prt.Dn.3"
14,37.0035591125488,10,1.99,"0321.5Sqm.Up.3"
14,36.3820571899414,10,1.99,"0321.5Sqm.Up.3"
14,38.4696426391602,10,1.99,"0321.5Sqm.Up.3"
14,37.503360748291,10,2.01,"0421.3Chk.Up.3"
14,38.3375091552734,10,2.01,"0421.3Chk.Up.3"
14,37.4634094238281,10,2.01,"0421.3Chk.Up.3"
14,35.8671379089355,100,1.97,"0421.1Prt.Dn.3"
14,34.8421173095703,100,1.97,"0421.1Prt.Dn.3"
14,35.062915802002,100,1.97,"0421.1Prt.Dn.3"
14,36.9189186096191,10,2.016666667,"0421.5Sqm.Dn.2"
14,35.9840965270996,10,2.016666667,"0421.5Sqm.Dn.2"
14,35.4639663696289,10,2.016666667,"0421.5Sqm.Dn.2"
14,39.4831809997559,10,1.99,"0321.5Sqm.Dn.3"
14,39.0948715209961,10,1.99,"0321.5Sqm.Dn.3"
14,37.3204650878906,10,1.99,"0321.5Sqm.Dn.3"
15,NA,10,2,"1121.2Brn.Dn.1"
15,38.9788970947266,10,2,"1121.2Brn.Dn.1"
15,38.2844429016113,10,2,"1121.2Brn.Dn.1"
15,36.3938674926758,10,2.016666667,"0421.5Sqm.Dn.3"
15,36.7650756835938,10,2.016666667,"0421.5Sqm.Dn.3"
15,36.226490020752,10,2.016666667,"0421.5Sqm.Dn.3"
15,NA,10,2,"1121.2Brn.Dn.2"
15,36.410701751709,10,2,"1121.2Brn.Dn.2"
15,36.9938850402832,10,2,"1121.2Brn.Dn.2"
15,36.4887351989746,10,2.016666667,"0421.5Sqm.Up.1"
15,34.6436538696289,10,2.016666667,"0421.5Sqm.Up.1"
15,35.4836769104004,10,2.016666667,"0421.5Sqm.Up.1"
15,37.7842903137207,100,2.026666667,"1221.1Prt.Dn.2"
15,37.7020072937012,100,2.026666667,"1221.1Prt.Dn.2"
15,36.8313407897949,100,2.026666667,"1221.1Prt.Dn.2"
15,39.0442161560059,100,2.03,"1221.1Prt.Up.3"
15,NA,100,2.03,"1221.1Prt.Up.3"
15,36.9577789306641,100,2.03,"1221.1Prt.Up.3"
15,37.3287124633789,100,2.02,"1121.1Prt.Up.3"
15,36.5220680236816,100,2.02,"1121.1Prt.Up.3"
15,36.1618232727051,100,2.02,"1121.1Prt.Up.3"
16,38.5139198303223,10,2,"0122.3Chk.Dn.2"
16,38.2027206420898,10,2,"0122.3Chk.Dn.2"
16,37.2288780212402,10,2,"0122.3Chk.Dn.2"
16,35.5644416809082,10,2.023333333,"0122.2Brn.Dn.1"
16,37.6018104553223,10,2.023333333,"0122.2Brn.Dn.1"
16,35.9363059997559,10,2.023333333,"0122.2Brn.Dn.1"
16,NA,10,2.003333333,"1221.5Sqm.Up.3"
16,38.4144668579102,10,2.003333333,"1221.5Sqm.Up.3"
16,36.3137855529785,10,2.003333333,"1221.5Sqm.Up.3"
16,34.8400917053223,10,2,"0122.3Chk.Dn.3"
16,35.7957725524902,10,2,"0122.3Chk.Dn.3"
16,34.7116584777832,10,2,"0122.3Chk.Dn.3"
16,36.0276336669922,10,2.023333333,"1221.5Sqm.Dn.1"
16,34.978199005127,10,2.023333333,"1221.5Sqm.Dn.1"
16,33.8802604675293,10,2.023333333,"1221.5Sqm.Dn.1"
16,35.77001953125,10,2.023333333,"0122.2Brn.Dn.2"
16,36.1736679077148,10,2.023333333,"0122.2Brn.Dn.2"
16,35.1769714355469,10,2.023333333,"0122.2Brn.Dn.2"
16,38.4464225769043,10,2.016666667,"0222.5Sqm.Dn.3"
16,38.3658676147461,10,2.016666667,"0222.5Sqm.Dn.3"
16,NA,10,2.016666667,"0222.5Sqm.Dn.3"
16,34.5620613098145,10,2.023333333,"1221.5Sqm.Dn.2"
16,34.0806083679199,10,2.023333333,"1221.5Sqm.Dn.2"
16,33.3959732055664,10,2.023333333,"1221.5Sqm.Dn.2"
16,36.1358795166016,10,1.996666667,"0122.3Chk.Up.1"
16,37.2528495788574,10,1.996666667,"0122.3Chk.Up.1"
16,37.8605690002441,10,1.996666667,"0122.3Chk.Up.1"
16,34.4766845703125,10,1.976666667,"0122.1Prt.Up.1"
16,33.2400588989258,10,1.976666667,"0122.1Prt.Up.1"
16,32.9012756347656,10,1.976666667,"0122.1Prt.Up.1"
16,NA,10,1.996666667,"0122.3Chk.Up.2"
16,37.4163284301758,10,1.996666667,"0122.3Chk.Up.2"
16,37.5796661376953,10,1.996666667,"0122.3Chk.Up.2"
16,NA,10,2,"0222.5Sqm.Up.1"
16,37.3853988647461,10,2,"0222.5Sqm.Up.1"
16,38.2032928466797,10,2,"0222.5Sqm.Up.1"
16,NA,10,1.996666667,"0122.3Chk.Up.3"
16,37.5121879577637,10,1.996666667,"0122.3Chk.Up.3"
16,39.5427398681641,10,1.996666667,"0122.3Chk.Up.3"
16,35.5197906494141,10,1.976666667,"0122.1Prt.Up.3"
16,33.8975601196289,10,1.976666667,"0122.1Prt.Up.3"
16,33.7476196289062,10,1.976666667,"0122.1Prt.Up.3"
16,35.918140411377,10,1.016666667,"0122.5Sqm.Dn.2"
16,35.2789115905762,10,1.016666667,"0122.5Sqm.Dn.2"
