"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"int_samp_small[9,2]",1.98703492491052e-05,5.44796363692271e-07,3.10011899350643e-05,1.8089837404925e-08,1.47227889330485e-06,7.13885945866363e-06,2.55641585762425e-05,0.00011191877186848,3238.08561627723,0.999971642940317
"int_samp_small[9,3]",0.87466042665859,0.000186247652687385,0.00405832274805991,0.866789601504141,0.87191214944032,0.874698279334097,0.877370558813451,0.882739021404555,474.80091681224,1.00352157233549
"int_samp_small[10,1]",0.35395191211528,0.000379975718804079,0.00768336756539111,0.339221205293728,0.348825777096111,0.353735745690408,0.359124991601018,0.369206052199417,408.875915380604,1.00429038761916
"int_samp_small[10,2]",1.20580438097476e-05,3.30331937640248e-07,1.9296300031468e-05,9.49534196663195e-09,7.91325744477605e-07,4.61858202486542e-06,1.51256355621147e-05,6.66257173881377e-05,3412.29804061847,1.0006415775014
"int_samp_small[10,3]",0.64603602984091,0.000380014922583404,0.00768328536186547,0.63079202422984,0.6408722541604,0.646258069648275,0.651170364698556,0.660773413358669,408.782810167501,1.00428999789056
"int_samp_small[11,1]",0.337270161239563,0.000391587034973491,0.0100841823509265,0.317970290021622,0.330338245244487,0.337254515784818,0.343903048800092,0.357451465033592,663.169847833248,1.00112557321522
"int_samp_small[11,2]",4.86724772709039e-05,1.31998195965979e-06,8.03922944798694e-05,3.31658129827958e-08,2.66715437670156e-06,1.78423824688431e-05,5.7922679177965e-05,0.000282904149292232,3709.30766291634,0.999279507125731
"int_samp_small[11,3]",0.662681166283166,0.000391548613433831,0.0100851473231471,0.642470430602499,0.656059726889866,0.66270046671717,0.669606295290932,0.681956166311079,663.426954759871,1.00112156937155
"int_samp_small[12,1]",0.12467441506082,0.000190346500016086,0.00429090106395742,0.116370881034187,0.121761876542696,0.124615571142611,0.127455322560811,0.133123913737158,508.167879807364,1.00458111713681
"int_samp_small[12,2]",2.35858674100382e-05,5.7485252206169e-07,3.69066650101778e-05,3.27263414188016e-08,1.76586703268178e-06,9.10799861321483e-06,2.86213233103714e-05,0.000128247687253807,4121.89309357444,0.99925212965302
"int_samp_small[12,3]",0.87530199907177,0.0001903389955726,0.00429056773155384,0.866861908446109,0.872524607690923,0.875373820528838,0.878204367780596,0.883586904462259,508.128995666058,1.00458657833864
"int_samp_small[13,1]",0.12628794787672,0.000182691132134056,0.00354078224923036,0.119510007381117,0.12391264993873,0.12619023176289,0.128619904044918,0.133470953988044,375.63279736391,1.00493490007641
"int_samp_small[13,2]",6.81251804955744e-06,1.82113962247906e-07,1.03334069816089e-05,1.13314046564797e-08,6.052998504281e-07,2.6251163288382e-06,8.80697606855606e-06,3.75706111027351e-05,3219.59009074734,0.999778811333523
"int_samp_small[13,3]",0.87370523960523,0.000182685159588575,0.00354054450718277,0.866528713148599,0.87137718279219,0.873804036896833,0.876082062563057,0.880481512670039,375.606914440105,1.00492498658037
"int_samp_small[14,1]",0.148517719866453,0.000209476711634336,0.0039465679272441,0.140973849942372,0.145857530758627,0.148493352600016,0.151194711738706,0.156270337340628,354.950399138744,1.00450026498858
"int_samp_small[14,2]",3.00737423422991e-06,7.66116428151827e-08,4.58286826021066e-06,7.39582589157663e-09,3.25385232658689e-07,1.26762441316562e-06,3.77563989676116e-06,1.60482262589068e-05,3578.36960195436,1.00039439007614
"int_samp_small[14,3]",0.851479272759313,0.000209466664349564,0.0039465005107534,0.843723140985148,0.848803633845953,0.851502894662776,0.854139293209951,0.859020510983846,354.972323275761,1.00449803515099
"int_samp_small[15,1]",0.181010635468833,0.000244140960391616,0.0047703619985578,0.171803534517759,0.17787578680431,0.180848735522182,0.18414257648547,0.190775060522313,381.787210702198,1.00353206899036
"int_samp_small[15,2]",6.78217997804305e-06,1.62203249076842e-07,9.86464928607997e-06,7.51774527218507e-09,5.65897620578515e-07,2.81422422364878e-06,8.54617343410116e-06,3.58749005675993e-05,3698.65821186365,0.999088953489918
"int_samp_small[15,3]",0.818982582351189,0.000244141166668622,0.00477022877425492,0.809224010392395,0.815854245474574,0.819142231821274,0.822119191279996,0.828143112236562,381.765241158014,1.0035322100958
"int_samp_small[16,1]",0.273875319979148,0.000335715420928516,0.0062362535995543,0.261553784033671,0.269791712096241,0.273738913815041,0.278003336492693,0.286326375090324,345.068212063595,1.00567435401061
"int_samp_small[16,2]",3.4951920799031e-06,7.97327011548404e-08,4.97618805198556e-06,1.11686495111664e-08,4.35469985829057e-07,1.57077401415012e-06,4.63107120006059e-06,1.75709779610108e-05,3895.11795510969,0.999811258519791
"int_samp_small[16,3]",0.726121184828772,0.000335715142438705,0.00623622268119141,0.713671882632397,0.721992938915089,0.726259170278737,0.730202754185033,0.738444775254164,345.065362976122,1.00567146182617
"int_samp_small[17,1]",0.365860280612155,0.00038340330530224,0.00727603985642954,0.351628721751994,0.360913382698514,0.365800148512353,0.370713462704031,0.380142841601343,360.145865607415,1.00395929244853
"int_samp_small[17,2]",4.52973687390359e-06,1.1329260979174e-07,6.76770797259322e-06,9.37390361388508e-09,4.22626271938507e-07,1.9114045903008e-06,5.60303851313989e-06,2.48922379624738e-05,3568.45363756279,0.999111873602477
"int_samp_small[17,3]",0.634135189650971,0.000383401122414265,0.0072760246480457,0.619856433343229,0.629282617221177,0.634199674341986,0.639083479552577,0.648370463614456,360.14846101832,1.00395953530402
"int_samp_small[18,1]",0.282315090800199,0.000339320368700565,0.00628868298855523,0.270024555954822,0.278010066772024,0.282246081266094,0.286493837903825,0.294786178895532,343.478489759991,1.00507872059991
"int_samp_small[18,2]",3.49135497188776e-06,8.14413340022072e-08,4.96936899190502e-06,1.16711455097657e-08,3.79839297435548e-07,1.55732317658773e-06,4.66508477540078e-06,1.75527559639313e-05,3723.16886304137,0.999558900520812
"int_samp_small[18,3]",0.71768141784483,0.000339315041317582,0.00628864168864412,0.705196623092345,0.71350544335638,0.717751969877479,0.72198861469142,0.729974738510597,343.484763740262,1.00507920461922
"int_samp_small[19,1]",0.321126904255707,0.000361641509522637,0.00673244136428531,0.308114945455888,0.31672835425009,0.321092542336213,0.325557118408077,0.334420973549797,346.56812167722,1.00484697710885
"int_samp_small[19,2]",2.27177073335343e-06,5.6196190499878e-08,3.33605816865787e-06,5.93667173742132e-09,2.43664146858417e-07,1.052523579414e-06,2.93978928614962e-06,1.13488857413662e-05,3524.14263004949,0.999514640300459
"int_samp_small[19,3]",0.678870823973559,0.000361644750786771,0.00673250298276524,0.665577734924921,0.674441957275939,0.678902375541688,0.683264216659124,0.691884686819316,346.568253252547,1.00484610105884
"int_samp_small[20,1]",0.966027776049638,8.52038153639823e-05,0.00339387742709576,0.958947896244729,0.963805147252591,0.96614410660224,0.968432880494665,0.972223190949815,1586.62473853065,1.00008946274885
"int_samp_small[20,2]",2.01494226910448e-05,6.77732892716758e-07,3.67753588503226e-05,5.21693707080599e-09,7.28556355023716e-07,5.27874144533085e-06,2.15245713205385e-05,0.000128026933148586,2944.39933194236,1.00044654988965
"int_samp_small[20,3]",0.0339520745276714,8.50985997906124e-05,0.0033916718354171,0.0277605128096309,0.0315429293056281,0.0338280611974331,0.0361781890035547,0.0410510754369782,1588.48391490822,1.00006734291182
"int_samp_small[21,1]",0.105107481517413,0.000151103547519124,0.00409443314251511,0.0971917141966366,0.102350339491875,0.105026208520257,0.107842526380204,0.113304877192022,734.24034903854,1.00236399802075
"int_samp_small[21,2]",3.88984864348439e-05,9.82013561616772e-07,6.17509481683446e-05,4.17431005156117e-08,2.74242150492329e-06,1.41813645312069e-05,4.71409447499759e-05,0.000236673190321049,3954.14225957521,1.00056231318499
"int_samp_small[21,3]",0.894853619996152,0.000151171588175627,0.00409477316749106,0.88667569017363,0.892132256334182,0.894912763022877,0.89762103188583,0.902792161645842,733.701397174361,1.00242047614311
"int_samp_small[22,1]",0.299549366161214,0.000348700690633764,0.00703894308520951,0.285804335714708,0.294908079852549,0.299494318594962,0.304228298515397,0.3134663004558,407.482809831408,1.00331020428249
"int_samp_small[22,2]",1.17963093364106e-05,3.02055012047747e-07,1.85349095513388e-05,1.33290988096695e-08,1.0163604215819e-06,4.68840734572833e-06,1.44767842504588e-05,6.68304397938996e-05,3765.38032703075,0.999439213016132
"int_samp_small[22,3]",0.70043883752945,0.000348673689589856,0.00703870494914623,0.686533493277609,0.695770140882885,0.700499930231245,0.705080769293243,0.714183421787734,407.518347547493,1.00330473951023
