"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta[1,10]",5.16558256290388,0.04152609603694,1.70434797877354,2.53570264711328,3.94363865543828,4.90070324914201,6.142436198906,9.22163791719594,1684.51286367707,0.999226410027402
"beta[1,11]",7.15797743454269,0.0568058812948759,2.97384402395108,2.63823524807508,4.94619461587923,6.74335362933329,9.06128234005854,13.8504421742899,2740.6259702948,0.999804057173925
"beta[1,12]",5.01860915113617,0.0393214088380541,1.72565494809925,2.35943892055901,3.768450449924,4.75529630903607,6.04780050403059,9.09222535165009,1925.97117409817,1.00005216582163
"beta[1,13]",6.92681480983568,0.0631696312868132,3.03849470275936,2.16467071106384,4.62919733358374,6.64733921939516,8.86438372349706,13.4891415812055,2313.6639680586,0.999113840516302
"beta[1,14]",4.06484321859076,0.0447759390754616,1.9422309731825,1.20817376113959,2.64573395981724,3.74836222237822,5.18941645119876,8.61560321329401,1881.53519022337,0.999944293455986
"beta[1,15]",5.32597204225967,0.0438957892984696,1.77375504169742,2.66630576136469,4.00482598115157,5.03487371249263,6.28577247964528,9.55675684938237,1632.83221673045,1.00247345627924
"beta[1,16]",4.59193355242698,0.0450574554799027,1.80311626310818,1.90899976014741,3.27425341289117,4.29099830208051,5.59198758990046,9.02342522510559,1601.45277544692,0.999779904780041
"beta[1,17]",-5.93352779544782,0.0190604328872662,0.180365952393675,-6.33191199435403,-6.04107858803388,-5.92550475690288,-5.80818186103733,-5.61262550302708,89.5454656280586,1.00735886330562
"beta[1,18]",-4.26967798714226,0.0189726259978962,0.182850453788603,-4.67253281198776,-4.38115842320813,-4.25993635759865,-4.1412333710221,-3.95630508726164,92.8832052134522,1.00650195857357
"beta[1,19]",-4.60339025528835,0.0194051875124841,0.184310422087153,-5.01069092251925,-4.71619309620786,-4.59394730164002,-4.47557857096404,-4.2726781540031,90.2119561248514,1.00660009493702
"beta[1,20]",-5.59847869442304,0.0191171659662689,0.180177227356293,-6.00334076839536,-5.70533119203126,-5.58958928921745,-5.4727441948651,-5.27610554336288,88.8285919509403,1.00679293041997
"beta[1,21]",-5.12077916692381,0.0191935511363569,0.180397132631548,-5.52874022329059,-5.22797287399063,-5.11175684131744,-4.99578298111477,-4.7996883457058,88.3382094750323,1.00677675777197
"beta[1,22]",-5.0476552275815,0.0195457882839228,0.184586270034879,-5.45396088377642,-5.1588766864905,-5.03693343423818,-4.91940052301482,-4.7234482987994,89.1851213416495,1.00690612538163
