"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_samp[8,1]",0.197633582909813,5.26918138846167e-05,0.00282773181852436,0.192266892682576,0.195734519190037,0.19760326223529,0.199530230568789,0.203326761329807,2879.98442465797,0.999537392730575
"mu_samp[8,2]",2.45856859098838e-06,1.8069610525222e-07,9.55542273779123e-06,9.16916178750109e-13,7.1402581869099e-10,2.4050777161316e-08,5.45524796316004e-07,2.63673644782337e-05,2796.41888836093,0.999785108094402
"mu_samp[8,3]",0.802355647722758,5.26803163308846e-05,0.00282795297750323,0.796672389637728,0.800463710430948,0.802378793211586,0.804249210803864,0.807728964242142,2881.69238888393,0.999530941773326
"mu_samp[8,4]",8.31079883795979e-06,3.14412407750159e-07,1.70967935052058e-05,6.73690537948637e-09,2.64378065653936e-07,1.62213560500136e-06,8.08300850557712e-06,6.0320656988414e-05,2956.85467314536,1.00100755560472
"mu_samp[9,1]",0.788347289422973,3.64018368786031e-05,0.00197677872757917,0.784382817563595,0.787014887664016,0.788397528059298,0.789670715375317,0.792223908867286,2948.96432971963,0.999313408382465
"mu_samp[9,2]",1.23654319590466e-06,8.92879914716727e-08,4.59627780503199e-06,4.17616695797386e-13,5.58299722629756e-10,1.33374874848809e-08,3.40790839866195e-07,1.18793885263557e-05,2649.88137684823,1.00051877631661
"mu_samp[9,3]",0.211646789418676,3.63937755006778e-05,0.00197661587003771,0.207774071358423,0.210318237692407,0.211598018705829,0.212977752868794,0.215616889602753,2949.78479301419,0.999314526390369
"mu_samp[9,4]",4.68461515557056e-06,1.41171948446806e-07,8.66667550567325e-06,6.98307896794674e-09,2.31792909432334e-07,1.31297278971199e-06,4.87353867965301e-06,3.13714486672849e-05,3768.84480825151,0.999688034822468
"mu_samp[10,1]",0.729118581025453,4.447944626822e-05,0.00233738258344249,0.724381655298817,0.727572616115972,0.729099335856852,0.730724861461812,0.733746407613832,2761.47339412072,1.00067451552287
"mu_samp[10,2]",1.47889370961595e-06,1.13668436336995e-07,6.12141637836689e-06,5.46670477357278e-13,7.05717248934127e-10,2.30101924314067e-08,3.98859990148768e-07,1.36956218248775e-05,2900.17410773882,1.0003838192014
"mu_samp[10,3]",0.270874654047531,4.44655982302396e-05,0.002337102569287,0.266250814785109,0.269262772291733,0.270891850977682,0.272419228864105,0.275615857924534,2762.53167633633,1.00066689742912
"mu_samp[10,4]",5.28603330632616e-06,1.69476599933039e-07,9.88537290944171e-06,5.11205748878757e-09,2.35250085883302e-07,1.39409230725741e-06,5.78199921313615e-06,3.6091099207024e-05,3402.25318215465,0.999867544863223
"mu_samp[11,1]",0.742633439509572,3.25427020643364e-05,0.00165415000206469,0.739448552885591,0.741518204267746,0.742652461672022,0.743749142773787,0.745768071524234,2583.70282051709,0.999883619392467
"mu_samp[11,2]",8.8464693291878e-07,6.99007210120378e-08,3.62882184166897e-06,3.46591828184348e-13,4.03790632243784e-10,1.2912789542279e-08,2.54075037259291e-07,8.23436615587421e-06,2695.057173889,1.0001167615508
"mu_samp[11,3]",0.257362303236695,3.25335422580605e-05,0.00165401546514323,0.254229732134539,0.256244379965775,0.257345761974514,0.258470281753688,0.260542153264567,2584.73740638761,0.999886529037103
"mu_samp[11,4]",3.37260680012943e-06,1.16382253807494e-07,6.55988490560465e-06,4.41707809260192e-09,1.56601741237338e-07,8.58814467389449e-07,3.53581048654272e-06,2.0880305404317e-05,3177.01242079996,0.999630523223978
"mu_samp[12,1]",0.384868325260376,2.7686026328833e-05,0.00152738185250116,0.381872925680741,0.383820095498902,0.384871348912858,0.385890474942775,0.38785688570223,3043.50484446938,0.99926232643193
"mu_samp[12,2]",6.11264388180271e-07,4.44179213249561e-08,2.26929508278489e-06,4.854676378881e-13,2.81728870768662e-10,8.16908467656455e-09,1.73676899011911e-07,5.63812029460968e-06,2610.15010242785,0.99942548012746
"mu_samp[12,3]",0.615128677089801,2.76874782275129e-05,0.00152745120317919,0.612141730251786,0.614109037905454,0.615127270430106,0.616175349666703,0.618123220020437,3043.46201481955,0.999262153397866
